CREATE | Token: CREATE| linea= 2 | columna Inicio= 0 | columna Final= 6
ID_Persona | Token: Identificador | linea= 65 | columna Inicio= 25 | columna Final= 35
, | Token: Coma| linea= 65 | columna Inicio= 35 | columna Final= 36
ID_Vuelo | Token: Identificador | linea= 65 | columna Inicio= 36 | columna Final= 44
, | Token: Coma| linea= 65 | columna Inicio= 44 | columna Final= 45
reservadoHasta | Token: Identificador | linea= 65 | columna Inicio= 45 | columna Final= 59
, | Token: Coma| linea= 65 | columna Inicio= 59 | columna Final= 60
FechaReservacion | Token: Identificador | linea= 65 | columna Inicio= 60 | columna Final= 76
, | Token: Coma| linea= 65 | columna Inicio= 76 | columna Final= 77
confirmado | Token: Identificador | linea= 65 | columna Inicio= 77 | columna Final= 87
, | Token: Coma| linea= 65 | columna Inicio= 87 | columna Final= 88
FormaDePago | Token: Identificador | linea= 65 | columna Inicio= 88 | columna Final= 99
, | Token: Coma| linea= 65 | columna Inicio= 99 | columna Final= 100
NumeroDeAsiento | Token: Identificador | linea= 65 | columna Inicio= 100 | columna Final= 115
, | Token: Coma| linea= 65 | columna Inicio= 115 | columna Final= 116
Canal | Token: Identificador | linea= 65 | columna Inicio= 116 | columna Final= 121
, | Token: Coma| linea= 65 | columna Inicio= 121 | columna Final= 122
Seccion | Token: Identificador | linea= 65 | columna Inicio= 122 | columna Final= 129
, | Token: Coma| linea= 65 | columna Inicio= 129 | columna Final= 130
Cola | Token: Identificador | linea= 65 | columna Inicio= 130 | columna Final= 134
) | Token: ParentesisCerrado| linea= 65 | columna Inicio= 134 | columna Final= 135
VALUES | Token: VALUES| linea= 65 | columna Inicio= 136 | columna Final= 142
( | Token: ParentesisAbierto| linea= 66 | columna Inicio= 3 | columna Final= 4
@ | Token: Arroba| linea= 67 | columna Inicio= 4 | columna Final= 5
IdPersona | Token: Identificador | linea= 67 | columna Inicio= 5 | columna Final= 14
, | Token: Coma| linea= 67 | columna Inicio= 14 | columna Final= 15
@ | Token: Arroba| linea= 67 | columna Inicio= 16 | columna Final= 17
vuelo | Token: Identificador | linea= 67 | columna Inicio= 17 | columna Final= 22
, | Token: Coma| linea= 67 | columna Inicio= 22 | columna Final= 23
@ | Token: Arroba| linea= 67 | columna Inicio= 24 | columna Final= 25
fechaVuelo | Token: Identificador | linea= 67 | columna Inicio= 25 | columna Final= 35
, | Token: Coma| linea= 67 | columna Inicio= 35 | columna Final= 36
0 | Token: Bit | linea= 67| columna Inicio= 37| columna Final= 38
, | Token: Coma| linea= 67 | columna Inicio= 38 | columna Final= 39
@ | Token: Arroba| linea= 67 | columna Inicio= 40 | columna Final= 41
FormaPago | Token: Identificador | linea= 67 | columna Inicio= 41 | columna Final= 50
, | Token: Coma| linea= 67 | columna Inicio= 50 | columna Final= 51
@ | Token: Arroba| linea= 67 | columna Inicio= 52 | columna Final= 53
asiento | Token: Identificador | linea= 67 | columna Inicio= 53 | columna Final= 60
, | Token: Coma| linea= 67 | columna Inicio= 60 | columna Final= 61
@ | Token: Arroba| linea= 67 | columna Inicio= 62 | columna Final= 63
Canal | Token: Identificador | linea= 67 | columna Inicio= 63 | columna Final= 68
, | Token: Coma| linea= 67 | columna Inicio= 68 | columna Final= 69
@ | Token: Arroba| linea= 67 | columna Inicio= 70 | columna Final= 71
seccion | Token: Identificador | linea= 67 | columna Inicio= 71 | columna Final= 78
, | Token: Coma| linea= 67 | columna Inicio= 78 | columna Final= 79
1 | Token: Bit | linea= 67| columna Inicio= 80| columna Final= 81
) | Token: ParentesisCerrado| linea= 68 | columna Inicio= 3 | columna Final= 4
; | Token: PuntoyComa| linea= 68 | columna Inicio= 4 | columna Final= 5
END | Token: END| linea= 69 | columna Inicio= 0 | columna Final= 3
GO | Token: GO| linea= 69 | columna Inicio= 4 | columna Final= 6
DECLARE | Token: DECLARE| linea= 71 | columna Inicio= 0 | columna Final= 7
fechaConfirmado | Token: Identificador | linea= 71 | columna Inicio= 8 | columna Final= 23
CURSOR | Token: CURSOR| linea= 71 | columna Inicio= 24 | columna Final= 30
FOR | Token: FOR| linea= 71 | columna Inicio= 31 | columna Final= 34
SELECT | Token: SELECT| linea= 72 | columna Inicio= 0 | columna Final= 6
ID | Token: Identificador | linea= 72 | columna Inicio= 7 | columna Final= 9
, | Token: Coma| linea= 72 | columna Inicio= 9 | columna Final= 10
reservadoHasta | Token: Identificador | linea= 72 | columna Inicio= 11 | columna Final= 25
, | Token: Coma| linea= 72 | columna Inicio= 25 | columna Final= 26
confirmado | Token: Identificador | linea= 72 | columna Inicio= 27 | columna Final= 37
, | Token: Coma| linea= 72 | columna Inicio= 37 | columna Final= 38
Cola | Token: Identificador | linea= 72 | columna Inicio= 39 | columna Final= 43
FROM | Token: FROM| linea= 72 | columna Inicio= 44 | columna Final= 48
Reservacion | Token: Identificador | linea= 72 | columna Inicio= 49 | columna Final= 60
; | Token: PuntoyComa| linea= 72 | columna Inicio= 61 | columna Final= 62
SELECT | Token: SELECT| linea= 74 | columna Inicio= 0 | columna Final= 6
v | Token: Identificador | linea= 74 | columna Inicio= 7 | columna Final= 8
. | Token: Punto| linea= 74 | columna Inicio= 8 | columna Final= 9
IDVuelo | Token: Identificador | linea= 74 | columna Inicio= 9 | columna Final= 16
, | Token: Coma| linea= 74 | columna Inicio= 16 | columna Final= 17
v | Token: Identificador | linea= 74 | columna Inicio= 18 | columna Final= 19
. | Token: Punto| linea= 74 | columna Inicio= 19 | columna Final= 20
FechaSalida | Token: Identificador | linea= 74 | columna Inicio= 20 | columna Final= 31
AS | Token: AS| linea= 74 | columna Inicio= 32 | columna Final= 34
dia | Token: Identificador | linea= 74 | columna Inicio= 35 | columna Final= 38
, | Token: Coma| linea= 74 | columna Inicio= 38 | columna Final= 39
COUNT | Token: COUNT| linea= 74 | columna Inicio= 40 | columna Final= 45
( | Token: ParentesisAbierto| linea= 74 | columna Inicio= 45 | columna Final= 46
1 | Token: Bit | linea= 74| columna Inicio= 46| columna Final= 47
) | Token: ParentesisCerrado| linea= 74 | columna Inicio= 47 | columna Final= 48
AS | Token: AS| linea= 74 | columna Inicio= 49 | columna Final= 51
cantidad | Token: Identificador | linea= 74 | columna Inicio= 52 | columna Final= 60
FROM | Token: FROM| linea= 74 | columna Inicio= 61 | columna Final= 65
Reservacion | Token: Identificador | linea= 74 | columna Inicio= 66 | columna Final= 77
r | Token: Identificador | linea= 74 | columna Inicio= 78 | columna Final= 79
INNER | Token: INNER| linea= 74 | columna Inicio= 80 | columna Final= 85
JOIN | Token: JOIN| linea= 74 | columna Inicio= 86 | columna Final= 90
Vuelo | Token: Identificador | linea= 74 | columna Inicio= 91 | columna Final= 96
v | Token: Identificador | linea= 74 | columna Inicio= 97 | columna Final= 98
ON | Token: ON| linea= 75 | columna Inicio= 0 | columna Final= 2
r | Token: Identificador | linea= 75 | columna Inicio= 3 | columna Final= 4
. | Token: Punto| linea= 75 | columna Inicio= 4 | columna Final= 5
ID_Vuelo | Token: Identificador | linea= 75 | columna Inicio= 5 | columna Final= 13
= | Token: Igual| linea= 75 | columna Inicio= 13 | columna Final= 14
v | Token: Identificador | linea= 75 | columna Inicio= 14 | columna Final= 15
. | Token: Punto| linea= 75 | columna Inicio= 15 | columna Final= 16
IDVuelo | Token: Identificador | linea= 75 | columna Inicio= 16 | columna Final= 23
INNER | Token: INNER| linea= 75 | columna Inicio= 24 | columna Final= 29
JOIN | Token: JOIN| linea= 75 | columna Inicio= 30 | columna Final= 34
Avion | Token: Identificador | linea= 75 | columna Inicio= 35 | columna Final= 40
a | Token: Identificador | linea= 75 | columna Inicio= 41 | columna Final= 42
ON | Token: ON| linea= 76 | columna Inicio= 0 | columna Final= 2
a | Token: Identificador | linea= 76 | columna Inicio= 3 | columna Final= 4
. | Token: Punto| linea= 76 | columna Inicio= 4 | columna Final= 5
ID | Token: Identificador | linea= 76 | columna Inicio= 5 | columna Final= 7
= | Token: Igual| linea= 76 | columna Inicio= 7 | columna Final= 8
v | Token: Identificador | linea= 76 | columna Inicio= 8 | columna Final= 9
. | Token: Punto| linea= 76 | columna Inicio= 9 | columna Final= 10
ID_Avion | Token: Identificador | linea= 76 | columna Inicio= 10 | columna Final= 18
WHERE | Token: WHERE| linea= 76 | columna Inicio= 19 | columna Final= 24
r | Token: Identificador | linea= 76 | columna Inicio= 25 | columna Final= 26
. | Token: Punto| linea= 76 | columna Inicio= 26 | columna Final= 27
confirmado | Token: Identificador | linea= 76 | columna Inicio= 27 | columna Final= 37
= | Token: Igual| linea= 76 | columna Inicio= 37 | columna Final= 38
1 | Token: Bit | linea= 76| columna Inicio= 38| columna Final= 39
GROUP | Token: GROUP| linea= 77 | columna Inicio= 0 | columna Final= 5
BY | Token: BY| linea= 77 | columna Inicio= 6 | columna Final= 8
V | Token: Identificador | linea= 77 | columna Inicio= 9 | columna Final= 10
. | Token: Punto| linea= 77 | columna Inicio= 10 | columna Final= 11
IDVuelo | Token: Identificador | linea= 77 | columna Inicio= 11 | columna Final= 18
, | Token: Coma| linea= 77 | columna Inicio= 18 | columna Final= 19
v | Token: Identificador | linea= 77 | columna Inicio= 19 | columna Final= 20
. | Token: Punto| linea= 77 | columna Inicio= 20 | columna Final= 21
FechaSalida | Token: Identificador | linea= 77 | columna Inicio= 21 | columna Final= 32
CREATE | Token: CREATE| linea= 82 | columna Inicio= 0 | columna Final= 6
PROCEDURE | Token: PROCEDURE| linea= 82 | columna Inicio= 7 | columna Final= 16
MyBackgroundTask | Token: Identificador | linea= 82 | columna Inicio= 17 | columna Final= 33
AS | Token: AS| linea= 83 | columna Inicio= 0 | columna Final= 2
BEGIN | Token: BEGIN| linea= 84 | columna Inicio= 0 | columna Final= 5
INSERT | Token: INSERT| linea= 87 | columna Inicio= 1 | columna Final= 7
INTO | Token: INTO| linea= 87 | columna Inicio= 8 | columna Final= 12
dbo | Token: Identificador | linea= 87 | columna Inicio= 13 | columna Final= 16
. | Token: Punto| linea= 87 | columna Inicio= 16 | columna Final= 17
Table2 | Token: Identificador | linea= 87 | columna Inicio= 17 | columna Final= 23
VALUES | Token: VALUES| linea= 87 | columna Inicio= 24 | columna Final= 30
( | Token: ParentesisAbierto| linea= 87 | columna Inicio= 30 | columna Final= 31
1 | Token: Bit | linea= 87| columna Inicio= 31| columna Final= 32
, | Token: Coma| linea= 87 | columna Inicio= 32 | columna Final= 33
0 | Token: Bit | linea= 87| columna Inicio= 34| columna Final= 35
) | Token: ParentesisCerrado| linea= 87 | columna Inicio= 35 | columna Final= 36
; | Token: PuntoyComa| linea= 87 | columna Inicio= 36 | columna Final= 37
UPDATE | Token: UPDATE| linea= 88 | columna Inicio= 1 | columna Final= 7
dbo | Token: Identificador | linea= 88 | columna Inicio= 8 | columna Final= 11
. | Token: Punto| linea= 88 | columna Inicio= 11 | columna Final= 12
Table1 | Token: Identificador | linea= 88 | columna Inicio= 12 | columna Final= 18
SET | Token: SET| linea= 89 | columna Inicio= 1 | columna Final= 4
c2 | Token: Identificador | linea= 89 | columna Inicio= 5 | columna Final= 7
= | Token: Igual| linea= 89 | columna Inicio= 8 | columna Final= 9
c2 | Token: Identificador | linea= 89 | columna Inicio= 10 | columna Final= 12
+ | Token: Suma| linea= 89 | columna Inicio= 13 | columna Final= 14
d2 | Token: Identificador | linea= 89 | columna Inicio= 15 | columna Final= 17
FROM | Token: FROM| linea= 90 | columna Inicio= 1 | columna Final= 5
dbo | Token: Identificador | linea= 90 | columna Inicio= 6 | columna Final= 9
. | Token: Punto| linea= 90 | columna Inicio= 9 | columna Final= 10
Table2 | Token: Identificador | linea= 90 | columna Inicio= 10 | columna Final= 16
WHERE | Token: WHERE| linea= 91 | columna Inicio= 1 | columna Final= 6
c2 | Token: Identificador | linea= 91 | columna Inicio= 7 | columna Final= 9
!= | Token: NoIgual| linea= 91 | columna Inicio= 10 | columna Final= 12
c3 | Token: Identificador | linea= 91 | columna Inicio= 13 | columna Final= 15
; | Token: PuntoyComa| linea= 91 | columna Inicio= 16 | columna Final= 17
END | Token: END| linea= 92 | columna Inicio= 0 | columna Final= 3
GO | Token: GO| linea= 93 | columna Inicio= 0 | columna Final= 2
CREATE | Token: CREATE| linea= 95 | columna Inicio= 0 | columna Final= 6
FUNCTION | Token: FUNCTION| linea= 95 | columna Inicio= 7 | columna Final= 15
dbo | Token: Identificador | linea= 95 | columna Inicio= 16 | columna Final= 19
. | Token: Punto| linea= 95 | columna Inicio= 19 | columna Final= 20
ISOweek | Token: Identificador | linea= 95 | columna Inicio= 20 | columna Final= 27
( | Token: ParentesisAbierto| linea= 95 | columna Inicio= 28 | columna Final= 29
@ | Token: Arroba| linea= 95 | columna Inicio= 29 | columna Final= 30
Date | Token: Identificador | linea= 95 | columna Inicio= 30 | columna Final= 34
DATETIME | Token: Identificador | linea= 95 | columna Inicio= 35 | columna Final= 43
) | Token: ParentesisCerrado| linea= 95 | columna Inicio= 43 | columna Final= 44
RETURNS | Token: Identificador | linea= 96 | columna Inicio= 0 | columna Final= 7
INT | Token: INT| linea= 96 | columna Inicio= 8 | columna Final= 11
AS | Token: AS| linea= 97 | columna Inicio= 0 | columna Final= 2
BEGIN | Token: BEGIN| linea= 98 | columna Inicio= 0 | columna Final= 5
DELETE | Token: DELETE| linea= 99 | columna Inicio= 4 | columna Final= 10
FROM | Token: FROM| linea= 99 | columna Inicio= 11 | columna Final= 15
Production | Token: Identificador | linea= 99 | columna Inicio= 16 | columna Final= 26
. | Token: Punto| linea= 99 | columna Inicio= 26 | columna Final= 27
ProductCostHistory | Token: Identificador | linea= 99 | columna Inicio= 27 | columna Final= 45
WHERE | Token: WHERE| linea= 100 | columna Inicio= 1 | columna Final= 6
StandardCost | Token: Identificador | linea= 100 | columna Inicio= 7 | columna Final= 19
BETWEEN | Token: BETWEEN| linea= 100 | columna Inicio= 20 | columna Final= 27
12.00 | Token: Float | linea= 100| columna Inicio= 28| columna Final= 33
AND | Token: AND| linea= 100 | columna Inicio= 34 | columna Final= 37
14.00 | Token: Float | linea= 100| columna Inicio= 38| columna Final= 43
AND | Token: AND| linea= 101 | columna Inicio= 4 | columna Final= 7
EndDate | Token: Identificador | linea= 101 | columna Inicio= 8 | columna Final= 15
IS | Token: IS| linea= 101 | columna Inicio= 16 | columna Final= 18
NULL | Token: NULL| linea= 101 | columna Inicio= 19 | columna Final= 23
; | Token: PuntoyComa| linea= 101 | columna Inicio= 23 | columna Final= 24
RETURN | Token: RETURN| linea= 102 | columna Inicio= 1 | columna Final= 7
12 | Token: Numero | linea= 102| columna Inicio= 8| columna Final= 10
END | Token: END| linea= 103 | columna Inicio= 0 | columna Final= 3
GO | Token: GO| linea= 104 | columna Inicio= 0 | columna Final= 2
CREATE | Token: CREATE| linea= 106 | columna Inicio= 0 | columna Final= 6
FUNCTION | Token: FUNCTION| linea= 106 | columna Inicio= 7 | columna Final= 15
Sales | Token: Identificador | linea= 106 | columna Inicio= 16 | columna Final= 21
. | Token: Punto| linea= 106 | columna Inicio= 21 | columna Final= 22
ufn_SalesByStore | Token: Identificador | linea= 106 | columna Inicio= 22 | columna Final= 38
( | Token: ParentesisAbierto| linea= 106 | columna Inicio= 39 | columna Final= 40
@ | Token: Arroba| linea= 106 | columna Inicio= 40 | columna Final= 41
storeid | Token: Identificador | linea= 106 | columna Inicio= 41 | columna Final= 48
INT | Token: INT| linea= 106 | columna Inicio= 49 | columna Final= 52
) | Token: ParentesisCerrado| linea= 106 | columna Inicio= 52 | columna Final= 53
RETURNS | Token: Identificador | linea= 107 | columna Inicio= 0 | columna Final= 7
TABLE | Token: TABLE| linea= 107 | columna Inicio= 8 | columna Final= 13
AS | Token: AS| linea= 108 | columna Inicio= 0 | columna Final= 2
RETURN | Token: RETURN| linea= 109 | columna Inicio= 0 | columna Final= 6
( | Token: ParentesisAbierto| linea= 110 | columna Inicio= 0 | columna Final= 1
SELECT | Token: SELECT| linea= 111 | columna Inicio= 4 | columna Final= 10
P | Token: Identificador | linea= 111 | columna Inicio= 11 | columna Final= 12
. | Token: Punto| linea= 111 | columna Inicio= 12 | columna Final= 13
ProductID | Token: Identificador | linea= 111 | columna Inicio= 13 | columna Final= 22
, | Token: Coma| linea= 111 | columna Inicio= 22 | columna Final= 23
P | Token: Identificador | linea= 111 | columna Inicio= 24 | columna Final= 25
. | Token: Punto| linea= 111 | columna Inicio= 25 | columna Final= 26
Name | Token: Identificador | linea= 111 | columna Inicio= 26 | columna Final= 30
, | Token: Coma| linea= 111 | columna Inicio= 30 | columna Final= 31
SUM | Token: SUM| linea= 111 | columna Inicio= 32 | columna Final= 35
( | Token: ParentesisAbierto| linea= 111 | columna Inicio= 35 | columna Final= 36
SD | Token: Identificador | linea= 111 | columna Inicio= 36 | columna Final= 38
. | Token: Punto| linea= 111 | columna Inicio= 38 | columna Final= 39
LineTotal | Token: Identificador | linea= 111 | columna Inicio= 39 | columna Final= 48
) | Token: ParentesisCerrado| linea= 111 | columna Inicio= 48 | columna Final= 49
AS | Token: AS| linea= 111 | columna Inicio= 50 | columna Final= 52
'Total' | Token: String | linea= 111| columna Inicio= 53| columna Final= 60
FROM | Token: FROM| linea= 112 | columna Inicio= 4 | columna Final= 8
Production | Token: Identificador | linea= 112 | columna Inicio= 9 | columna Final= 19
. | Token: Punto| linea= 112 | columna Inicio= 19 | columna Final= 20
Product | Token: Identificador | linea= 112 | columna Inicio= 20 | columna Final= 27
AS | Token: AS| linea= 112 | columna Inicio= 28 | columna Final= 30
P | Token: Identificador | linea= 112 | columna Inicio= 31 | columna Final= 32
JOIN | Token: JOIN| linea= 113 | columna Inicio= 4 | columna Final= 8
Sales | Token: Identificador | linea= 113 | columna Inicio= 9 | columna Final= 14
. | Token: Punto| linea= 113 | columna Inicio= 14 | columna Final= 15
SalesOrderDetail | Token: Identificador | linea= 113 | columna Inicio= 15 | columna Final= 31
AS | Token: AS| linea= 113 | columna Inicio= 32 | columna Final= 34
SD | Token: Identificador | linea= 113 | columna Inicio= 35 | columna Final= 37
ON | Token: ON| linea= 113 | columna Inicio= 38 | columna Final= 40
SD | Token: Identificador | linea= 113 | columna Inicio= 41 | columna Final= 43
. | Token: Punto| linea= 113 | columna Inicio= 43 | columna Final= 44
ProductID | Token: Identificador | linea= 113 | columna Inicio= 44 | columna Final= 53
= | Token: Igual| linea= 113 | columna Inicio= 54 | columna Final= 55
P | Token: Identificador | linea= 113 | columna Inicio= 56 | columna Final= 57
. | Token: Punto| linea= 113 | columna Inicio= 57 | columna Final= 58
ProductID | Token: Identificador | linea= 113 | columna Inicio= 58 | columna Final= 67
JOIN | Token: JOIN| linea= 114 | columna Inicio= 4 | columna Final= 8
Sales | Token: Identificador | linea= 114 | columna Inicio= 9 | columna Final= 14
. | Token: Punto| linea= 114 | columna Inicio= 14 | columna Final= 15
SalesOrderHeader | Token: Identificador | linea= 114 | columna Inicio= 15 | columna Final= 31
AS | Token: AS| linea= 114 | columna Inicio= 32 | columna Final= 34
SH | Token: Identificador | linea= 114 | columna Inicio= 35 | columna Final= 37
ON | Token: ON| linea= 114 | columna Inicio= 38 | columna Final= 40
SH | Token: Identificador | linea= 114 | columna Inicio= 41 | columna Final= 43
. | Token: Punto| linea= 114 | columna Inicio= 43 | columna Final= 44
SalesOrderID | Token: Identificador | linea= 114 | columna Inicio= 44 | columna Final= 56
= | Token: Igual| linea= 114 | columna Inicio= 57 | columna Final= 58
SD | Token: Identificador | linea= 114 | columna Inicio= 59 | columna Final= 61
. | Token: Punto| linea= 114 | columna Inicio= 61 | columna Final= 62
SalesOrderID | Token: Identificador | linea= 114 | columna Inicio= 62 | columna Final= 74
JOIN | Token: JOIN| linea= 115 | columna Inicio= 4 | columna Final= 8
Sales | Token: Identificador | linea= 115 | columna Inicio= 9 | columna Final= 14
. | Token: Punto| linea= 115 | columna Inicio= 14 | columna Final= 15
Customer | Token: Identificador | linea= 115 | columna Inicio= 15 | columna Final= 23
AS | Token: AS| linea= 115 | columna Inicio= 24 | columna Final= 26
C | Token: Identificador | linea= 115 | columna Inicio= 27 | columna Final= 28
ON | Token: ON| linea= 115 | columna Inicio= 29 | columna Final= 31
SH | Token: Identificador | linea= 115 | columna Inicio= 32 | columna Final= 34
. | Token: Punto| linea= 115 | columna Inicio= 34 | columna Final= 35
CustomerID | Token: Identificador | linea= 115 | columna Inicio= 35 | columna Final= 45
= | Token: Igual| linea= 115 | columna Inicio= 46 | columna Final= 47
C | Token: Identificador | linea= 115 | columna Inicio= 48 | columna Final= 49
. | Token: Punto| linea= 115 | columna Inicio= 49 | columna Final= 50
CustomerID | Token: Identificador | linea= 115 | columna Inicio= 50 | columna Final= 60
WHERE | Token: WHERE| linea= 116 | columna Inicio= 4 | columna Final= 9
C | Token: Identificador | linea= 116 | columna Inicio= 10 | columna Final= 11
. | Token: Punto| linea= 116 | columna Inicio= 11 | columna Final= 12
StoreID | Token: Identificador | linea= 116 | columna Inicio= 12 | columna Final= 19
= | Token: Igual| linea= 116 | columna Inicio= 20 | columna Final= 21
@ | Token: Arroba| linea= 116 | columna Inicio= 22 | columna Final= 23
storeid | Token: Identificador | linea= 116 | columna Inicio= 23 | columna Final= 30
GROUP | Token: GROUP| linea= 117 | columna Inicio= 4 | columna Final= 9
BY | Token: BY| linea= 117 | columna Inicio= 10 | columna Final= 12
P | Token: Identificador | linea= 117 | columna Inicio= 13 | columna Final= 14
. | Token: Punto| linea= 117 | columna Inicio= 14 | columna Final= 15
ProductID | Token: Identificador | linea= 117 | columna Inicio= 15 | columna Final= 24
, | Token: Coma| linea= 117 | columna Inicio= 24 | columna Final= 25
P | Token: Identificador | linea= 117 | columna Inicio= 26 | columna Final= 27
. | Token: Punto| linea= 117 | columna Inicio= 27 | columna Final= 28
Name | Token: Identificador | linea= 117 | columna Inicio= 28 | columna Final= 32
) | Token: ParentesisCerrado| linea= 118 | columna Inicio= 0 | columna Final= 1
; | Token: PuntoyComa| linea= 118 | columna Inicio= 1 | columna Final= 2
FIN
